exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,11,nomystery-opt11-strips/p10,relaxed,44.0572,True,44.1834,False,True,,,,,,,,,,,,,,,,,,
0,5,nomystery-opt11-strips/p11,goal_chains,0.0972776,True,0.103257,False,True,0,12,5.6441e-05,3,11,0,3,0,1,7,2,9,0,11,0,0.000104939,0,0
0,5,nomystery-opt11-strips/p11,linear,0.0154889,True,0.0193242,False,True,,,,,,,,,,,,,,,,,,
0,5,nomystery-opt11-strips/p11,relaxed,0.125413,True,0.129565,False,True,,,,,,,,,,,,,,,,,,
0,9,nomystery-opt11-strips/p19,goal_chains,25.3686,True,25.4941,False,True,0,65,0.000683053,11,33,3,11,0,7,114,2,54,3,23,0,0.00147626,0,9
0,13,nomystery-opt11-strips/p19,linear,119.135,True,119.243,False,True,,,,,,,,,,,,,,,,,,
0,11,nomystery-opt11-strips/p19,relaxed,74.7845,True,74.8949,False,True,,,,,,,,,,,,,,,,,,
0,5,nomystery-sat11-strips/p01,goal_chains,0.370641,True,0.387103,False,True,0,28,0.000167365,6,18,1,6,0,4,27,2,22,1,15,0,0.000410329,0,4
0,6,nomystery-sat11-strips/p01,linear,0.320422,True,0.337307,False,True,,,,,,,,,,,,,,,,,,
0,5,nomystery-sat11-strips/p01,relaxed,0.306248,True,0.322911,False,True,,,,,,,,,,,,,,,,,,
0,4,nomystery-sat11-strips/p02,goal_chains,0.0860785,True,0.108073,False,True,0,34,0.000206192,7,19,2,7,0,8,38,2,27,2,11,0,0.000602876,0,5
0,6,nomystery-sat11-strips/p02,linear,0.367609,True,0.388519,False,True,,,,,,,,,,,,,,,,,,
0,6,nomystery-sat11-strips/p02,relaxed,0.471583,True,0.490714,False,True,,,,,,,,,,,,,,,,,,
0,8,nomystery-sat11-strips/p05,goal_chains,5.57496,True,5.68815,False,True,0,64,0.000624698,10,30,1,10,0,15,83,2,54,1,16,0,0.00171375,0,6
0,11,nomystery-sat11-strips/p05,linear,18.6088,True,18.7141,False,True,,,,,,,,,,,,,,,,,,
0,10,nomystery-sat11-strips/p05,relaxed,19.3798,True,19.4866,False,True,,,,,,,,,,,,,,,,,,
0,8,nomystery-sat11-strips/p07,goal_chains,9.41693,True,9.58766,False,True,0,70,0.000927772,12,35,3,12,0,7,124,2,58,3,25,0,0.00194707,0,9
0,12,nomystery-sat11-strips/p07,linear,46.284,True,46.4574,False,True,,,,,,,,,,,,,,,,,,
0,11,nomystery-sat11-strips/p07,relaxed,69.4348,True,69.6124,False,True,,,,,,,,,,,,,,,,,,
0,9,nomystery-sat11-strips/p08,goal_chains,13.3226,True,13.4515,False,True,0,69,0.000690312,13,35,4,13,0,8,147,2,55,4,21,0,0.00161213,0,8
0,11,nomystery-sat11-strips/p08,linear,37.1294,True,37.2585,False,True,,,,,,,,,,,,,,,,,,
0,11,nomystery-sat11-strips/p08,relaxed,37.242,True,37.3601,False,True,,,,,,,,,,,,,,,,,,
0,5,nomystery-sat11-strips/p12,goal_chains,0.150639,True,0.167185,False,True,0,34,0.000169559,7,19,2,7,0,8,38,2,27,2,11,0,0.000543265,0,5
0,7,nomystery-sat11-strips/p12,linear,1.19374,True,1.21022,False,True,,,,,,,,,,,,,,,,,,
